date,volume,amount,open,high,low,close,spread,Quantity
107/12/07,"29,788,587","2,065,631,101",69.2,69.6,69.1,69.1,+0.10,"16,282"
107/12/10,"34,179,628","2,322,581,768",68.2,68.4,67.6,67.7,-1.40,"18,329"
107/12/11,"27,863,901","1,913,157,049",68.5,69.2,68.4,68.4,+0.70,"13,419"
107/12/12,"52,213,235","3,699,121,588",70.5,71.7,70.1,71.2,+2.80,"22,460"
107/12/13,"46,486,838","3,364,791,174",71.2,73.0,71.2,73.0,+1.80,"22,336"
107/12/14,"31,646,440","2,267,067,945",72.6,72.6,71.1,71.5,-1.50,"15,433"
107/12/17,"17,849,612","1,275,940,487",71.6,72.2,71.1,71.1,-0.40,"8,056"
107/12/18,"22,953,185","1,618,690,443",70.5,70.8,70.1,70.8,-0.30,"9,991"
107/12/19,"17,964,150","1,281,356,965",70.9,71.8,70.8,71.8,+1.00,"8,760"
107/12/20,"25,245,106","1,805,594,510",71.1,72.2,70.9,71.5,-0.30,"11,527"
107/12/21,"33,136,429","2,353,447,421",70.6,71.4,70.2,71.4,-0.10,"9,316"
107/12/22,"6,222,257","441,961,791",71.0,71.3,70.8,70.9,-0.50,"4,435"
107/12/24,"11,791,597","838,847,036",70.8,71.4,70.7,71.4,+0.50,"5,306"
107/12/25,"10,943,586","769,819,521",70.0,70.9,70.0,70.7,-0.70,"6,482"
107/12/26,"9,507,306","671,527,729",70.9,71.2,70.2,70.2,-0.50,"5,070"
107/12/27,"17,074,054","1,217,597,624",71.8,71.8,70.8,70.8,+0.60,"7,161"
107/12/28,"16,169,241","1,145,754,397",70.9,71.1,70.7,70.8, 0.00,"5,604"
108/01/02,"16,775,306","1,182,131,473",71.4,71.4,69.9,70.1,-0.70,"7,968"
108/01/03,"36,659,461","2,526,323,765",69.0,69.4,68.5,68.9,-1.20,"17,345"
108/01/04,"37,313,571","2,520,135,828",68.2,68.2,67.0,67.6,-1.30,"18,110"
108/01/07,"24,084,557","1,661,796,863",68.7,69.4,68.3,69.3,+1.70,"11,167"
108/01/08,"18,303,188","1,258,685,500",69.6,69.6,68.2,68.6,-0.70,"8,027"
108/01/09,"31,946,504","2,226,173,028",68.9,70.2,68.8,69.9,+1.30,"12,390"
108/01/10,"19,041,006","1,318,925,953",69.8,69.8,68.9,69.3,-0.60,"6,868"
108/01/11,"23,895,923","1,666,289,347",69.8,70.2,69.4,69.4,+0.10,"8,299"
108/01/14,"14,186,528","978,121,932",69.3,69.7,68.6,68.7,-0.70,"5,838"
108/01/15,"34,095,247","2,391,707,840",69.5,70.6,69.5,70.3,+1.60,"13,090"
108/01/16,"16,978,789","1,190,557,739",69.8,70.5,69.8,70.2,-0.10,"7,213"
108/01/17,"14,229,333","1,001,981,116",70.7,70.9,70.0,70.4,+0.20,"6,079"
108/01/18,"13,989,609","987,788,089",70.5,70.8,70.3,70.8,+0.40,"5,758"
108/01/21,"13,812,012","982,801,352",71.3,71.4,70.9,71.2,+0.40,"6,076"
108/01/22,"9,804,658","692,841,394",71.2,71.2,70.3,70.7,-0.50,"4,294"
108/01/23,"14,218,510","995,321,209",70.5,70.5,69.6,69.7,-1.00,"6,712"
108/01/24,"21,008,129","1,467,646,630",69.5,70.1,69.5,70.0,+0.30,"6,872"
108/01/25,"37,127,222","2,619,546,538",70.2,70.9,70.2,70.7,+0.70,"9,069"
108/01/28,"25,776,596","1,824,318,059",70.8,71.0,70.6,70.8,+0.10,"6,705"
108/01/29,"25,436,535","1,781,646,390",69.9,70.6,69.8,69.9,-0.90,"7,599"
108/01/30,"32,866,799","2,303,214,538",69.9,70.5,69.8,70.0,+0.10,"7,053"
108/02/11,"40,173,372","2,825,063,420",71.3,71.3,69.9,69.9,-0.10,"15,010"
108/02/12,"39,354,433","2,812,966,578",70.5,72.0,70.2,72.0,+2.10,"17,525"
108/02/13,"31,353,987","2,263,539,264",72.2,72.8,71.6,72.0, 0.00,"12,854"
108/02/14,"15,001,817","1,075,272,261",72.0,72.2,71.4,71.4,-0.60,"6,888"
108/02/15,"24,217,212","1,710,402,558",71.5,71.5,70.3,70.3,-1.10,"10,371"
108/02/18,"24,104,159","1,718,375,189",70.8,71.7,70.8,71.0,+0.70,"8,958"
108/02/19,"57,110,672","4,064,063,677",71.4,72.3,71.4,72.0,+1.00,"11,630"
108/02/20,"47,550,905","3,476,229,765",72.6,73.8,72.4,73.2,+1.20,"19,300"
108/02/21,"29,935,136","2,200,049,211",73.6,73.8,73.0,73.8,+0.60,"12,473"
108/02/22,"24,033,042","1,761,629,610",73.5,73.5,73.0,73.5,-0.30,"9,539"
108/02/25,"23,324,206","1,709,529,209",73.5,73.5,72.7,73.4,-0.10,"9,309"
108/02/26,"21,006,421","1,535,828,357",73.6,73.8,72.8,72.8,-0.60,"9,010"
108/02/27,"24,412,855","1,775,028,130",72.9,73.0,72.3,72.7,-0.10,"7,358"
108/03/04,"35,967,079","2,589,105,944",72.3,72.4,71.5,72.2,-0.50,"12,143"
108/03/05,"15,266,318","1,096,096,696",71.6,72.0,71.3,71.9,-0.30,"6,790"
108/03/06,"12,965,399","937,328,566",72.3,72.5,72.0,72.5,+0.60,"5,857"
108/03/07,"18,711,684","1,345,138,832",72.4,72.5,71.5,71.6,-0.90,"7,275"
108/03/08,"26,489,333","1,876,734,471",71.5,71.5,70.6,70.7,-0.90,"11,626"
108/03/11,"16,883,254","1,190,599,669",70.7,70.8,70.3,70.4,-0.30,"7,931"
108/03/12,"17,317,165","1,232,429,568",71.0,71.4,70.8,71.2,+0.80,"7,472"
108/03/13,"15,570,731","1,102,150,204",70.8,71.1,70.6,70.7,-0.50,"7,273"
108/03/14,"15,826,574","1,122,590,461",71.0,71.3,70.7,71.1,+0.40,"5,754"
108/03/15,"39,456,305","2,790,346,597",71.0,71.1,70.6,70.6,-0.50,"8,511"
108/03/18,"19,365,627","1,386,660,321",71.1,72.0,71.0,72.0,+1.40,"9,107"
108/03/19,"15,694,654","1,131,954,788",72.0,72.6,71.7,72.3,+0.30,"7,297"
108/03/20,"13,949,626","1,007,558,467",72.2,72.5,72.0,72.4,+0.10,"5,530"
108/03/21,"18,642,534","1,359,237,840",72.6,73.1,72.5,73.0,+0.60,"9,064"
108/03/22,"15,792,364","1,153,237,189",73.4,73.5,72.4,73.0, 0.00,"7,214"
108/03/25,"20,943,727","1,496,661,255",72.0,72.0,71.1,71.2,-1.80,"9,677"
108/03/26,"6,931,426","496,968,496",71.8,71.9,71.5,71.8,+0.60,"4,040"
108/03/27,"9,927,799","714,018,971",72.0,72.0,71.8,71.9,+0.10,"3,964"
108/03/28,"7,847,350","563,115,125",72.0,72.0,71.5,71.8,-0.10,"3,271"
108/03/29,"37,626,532","2,745,565,736",71.9,73.5,71.6,73.5,+1.70,"14,309"
108/04/01,"171,442,589","13,641,328,837",77.0,80.8,76.7,80.8,+7.30,"66,838"
108/04/02,"102,552,317","8,433,290,573",81.8,83.6,81.3,82.0,+1.20,"44,503"
108/04/03,"42,366,852","3,454,135,060",82.3,82.7,80.7,81.9,-0.10,"21,665"
108/04/08,"50,206,746","4,147,309,372",82.5,83.1,82.0,82.4,+0.50,"20,339"
108/04/09,"28,246,484","2,328,939,888",82.8,82.9,82.0,82.5,+0.10,"11,999"
108/04/10,"34,543,224","2,864,109,342",82.9,83.4,82.4,83.0,+0.50,"13,695"
108/04/11,"46,823,031","3,932,810,310",83.6,84.7,83.3,83.8,+0.80,"19,623"
108/04/12,"60,490,750","5,210,724,455",85.6,86.7,85.6,86.5,+2.70,"28,080"
108/04/15,"73,767,290","6,541,107,310",87.8,89.8,87.2,89.3,+2.80,"32,992"
108/04/16,"82,925,870","7,493,403,350",91.4,91.4,89.5,89.9,+0.60,"34,763"
108/04/17,"91,422,037","8,363,112,050",91.0,92.7,90.1,91.8,+1.90,"44,910"
108/04/18,"161,976,542","15,205,017,590",94.0,97.2,90.5,91.6,-0.20,"75,202"
108/04/19,"85,815,908","7,722,931,247",92.6,92.9,88.6,88.9,-2.70,"44,291"
108/04/22,"42,019,217","3,713,703,322",88.8,89.7,87.7,87.8,-1.10,"23,843"
108/04/23,"66,167,792","5,800,876,996",88.2,88.5,86.8,88.3,+0.50,"28,446"
108/04/24,"56,834,676","4,979,883,410",89.0,89.1,86.1,86.9,-1.40,"21,783"
108/04/25,"32,202,088","2,786,502,667",86.0,87.2,85.8,86.8,-0.10,"14,711"
108/04/26,"31,649,333","2,759,566,093",87.4,87.8,86.5,87.4,+0.60,"13,980"
108/04/29,"33,405,276","2,937,313,949",87.5,88.8,87.4,87.8,+0.40,"15,147"
108/04/30,"35,517,579","3,085,461,156",88.0,88.0,86.1,86.9,-0.90,"15,610"
108/05/02,"33,606,728","2,916,166,643",86.5,87.3,86.3,86.9, 0.00,"10,464"
108/05/03,"33,772,491","2,951,238,446",87.3,88.3,86.7,88.2,+1.30,"12,243"
108/05/06,"48,477,706","4,139,406,310",85.7,86.2,84.8,84.9,-3.30,"22,863"
108/05/07,"31,286,229","2,707,565,265",85.3,87.3,85.3,86.6,+1.70,"13,893"
108/05/08,"24,225,963","2,080,351,855",85.8,86.3,85.3,85.9,-0.70,"10,311"
108/05/09,"37,492,080","3,184,908,365",85.5,86.0,84.3,84.3,-1.60,"15,730"
108/05/10,"26,540,533","2,236,652,077",85.0,85.6,83.1,83.7,-0.60,"13,452"
108/05/13,"36,817,422","3,018,294,124",83.5,83.5,81.1,81.2,-2.50,"18,630"
108/05/14,"58,917,717","4,688,254,090",79.1,80.5,78.8,79.7,-1.50,"24,201"
108/05/15,"73,605,827","5,732,804,818",78.1,78.4,77.5,77.8,-1.90,"28,764"
108/05/16,"62,956,947","4,865,352,171",78.1,78.3,75.9,75.9,-1.90,"25,086"
108/05/17,"50,083,428","3,774,307,349",76.6,77.1,74.6,74.7,-1.20,"21,472"
108/05/20,"31,140,335","2,340,545,371",75.3,76.1,74.7,75.0,+0.30,"13,575"
108/05/21,"36,661,660","2,749,432,998",75.3,75.4,74.6,75.0, 0.00,"14,041"
108/05/22,"30,618,177","2,278,642,427",75.1,75.3,74.0,74.0,-1.00,"14,527"
108/05/23,"63,692,307","4,585,352,752",72.7,72.8,71.5,71.5,-2.50,"28,490"
108/05/24,"40,844,359","2,925,562,799",71.5,72.2,71.1,71.4,-0.10,"18,744"
108/05/27,"25,409,320","1,816,209,346",71.6,71.9,71.1,71.4, 0.00,"11,329"
108/05/28,"138,134,091","9,842,471,605",71.3,72.0,71.2,71.2,-0.20,"14,561"
108/05/29,"43,871,336","3,112,658,057",70.2,72.3,70.1,72.2,+1.00,"19,856"
108/05/30,"44,881,687","3,272,062,100",72.2,73.7,71.7,73.4,+1.20,"18,144"
108/05/31,"52,374,507","3,879,770,343",73.0,74.9,72.8,73.9,+0.50,"22,956"
108/06/03,"30,691,063","2,240,945,696",73.3,73.7,72.2,73.4,-0.50,"13,292"
108/06/04,"39,322,197","2,846,060,314",73.1,73.4,71.8,71.8,-1.60,"17,958"
108/06/05,"48,348,800","3,473,387,525",72.5,72.8,71.0,71.0,-0.80,"20,283"
108/06/06,"38,757,260","2,760,665,454",71.0,72.0,71.0,71.1,+0.10,"15,184"
108/06/10,"35,654,410","2,562,142,098",72.0,72.3,71.2,72.1,+1.00,"13,300"
108/06/11,"28,059,014","2,031,363,362",72.1,72.8,71.9,72.4,+0.30,"11,952"
108/06/12,"40,554,559","2,954,223,835",72.5,73.9,72.0,73.7,+1.30,"16,870"
108/06/13,"42,030,922","3,106,369,148",73.6,74.4,73.2,74.2,+0.50,"16,684"
108/06/14,"40,758,143","3,057,620,636",74.2,75.5,74.2,75.1,+0.90,"19,770"
108/06/17,"33,119,409","2,519,346,493",75.6,76.5,75.2,76.4,+1.30,"16,702"
108/06/18,"36,656,969","2,790,370,844",77.2,77.5,75.1,75.9,-0.50,"17,471"
108/06/19,"49,543,345","3,812,397,346",77.4,77.4,76.4,77.2,+1.30,"19,591"
108/06/20,"26,823,796","2,077,861,695",77.3,77.8,76.8,77.7,+0.50,"12,705"
108/06/21,"58,532,183","4,537,934,418",78.2,78.8,76.6,76.8,-0.90,"22,404"
108/06/24,"28,060,800","2,141,301,281",76.4,77.2,75.3,77.1,+0.30,"13,163"
108/06/25,"21,534,885","1,650,467,278",77.0,77.4,76.1,76.4,-0.70,"11,060"
108/06/26,"17,961,718","1,370,947,546",76.1,76.7,76.1,76.3,-0.10,"7,367"
108/06/27,"32,381,055","2,508,603,582",76.8,77.9,76.7,77.4,+1.10,"11,933"
108/06/28,"21,112,390","1,639,176,256",77.6,78.2,77.4,77.4, 0.00,"7,961"
108/07/01,"37,776,031","2,989,054,094",78.70,79.70,78.60,79.40,+2.00,"18,111"
108/07/02,"21,546,017","1,705,333,449",79.00,79.50,78.70,79.10,-0.30,"10,787"
108/07/03,"30,692,214","2,391,526,371",78.40,78.80,77.50,77.50,-1.60,"14,736"
108/07/04,"14,276,447","1,111,651,026",78.00,78.40,77.50,77.70,+0.20,"6,699"
108/07/05,"10,943,297","854,395,365",77.90,78.30,77.90,78.20,+0.50,"5,367"
108/07/08,"19,426,333","1,529,428,867",78.40,79.00,78.30,79.00,+0.80,"9,232"
108/07/09,"21,188,735","1,661,393,530",79.10,79.10,77.80,77.90,-1.10,"9,428"
108/07/10,"20,106,457","1,568,642,420",78.70,78.70,77.70,77.90, 0.00,"8,319"
108/07/11,"20,457,120","1,601,744,784",78.10,78.70,77.80,78.20,+0.30,"9,065"
108/07/12,"26,468,868","2,058,503,042",78.00,78.20,77.50,77.60,-0.60,"11,097"
108/07/15,"37,340,374","2,887,993,512",77.10,78.20,76.10,78.10,+0.50,"16,220"
108/07/16,"59,184,035","4,725,596,800",78.40,80.80,78.40,80.00,+1.90,"26,333"
108/07/17,"31,741,667","2,533,615,702",80.20,80.40,79.30,79.30,-0.70,"14,300"
108/07/18,"20,198,449","1,600,873,450",79.20,79.70,79.00,79.00,-0.30,"8,911"
108/07/19,"24,572,592","1,957,380,338",79.60,80.40,79.30,79.30,+0.30,"10,527"
108/07/22,"38,787,555","3,116,232,002",79.50,80.80,79.40,80.60,+1.30,"16,042"
108/07/23,"38,227,545","3,090,070,309",81.10,81.40,80.30,80.90,+0.30,"16,167"
108/07/24,"73,095,922","5,936,543,093",81.20,81.50,80.80,81.30,+0.40,"27,858"
108/07/25,"62,909,028","4,935,150,376",78.00,79.30,77.80,78.60,X0.00,"27,627"
108/07/26,"22,089,564","1,733,210,163",78.40,78.90,78.10,78.40,-0.20,"10,576"
